case,GT_sub_fat_mean_hu,GT_muscle_mean_hu,JF_sub_fat_mean_hu,JF_vis_fat_mean_hu,JF_muscle_mean_hu,TS_sub_fat_mean_hu,TS_vis_fat_mean_hu,TS_muscle_mean_hu
case_690,-105.37469244884196,12.797526338625163,-101.91030307761203,-18.447177065246308,27.11574106136634,-98.16456239520959,-17.616872509195762,31.152430737432223
case_691,-91.26594781601062,15.382476648976011,-98.01666142829812,-16.530001941580988,28.300236640762343,-92.1197084856648,-14.210557026157744,32.72858181987918
case_692,-104.22217768405397,10.143667083420157,-102.01464288622851,-17.775093771198275,23.18606826070189,-99.52663557530707,-16.516102893076454,28.278495591339098
case_693,-103.7686521796799,16.386555161605262,-100.21954216809971,-16.58959571912325,21.164758818381298,-96.167779142125,-15.903150379573194,25.634933310916836
case_694,-89.70974446486392,20.697973617787927,-78.47951096711033,-15.188078611559721,30.873323945979163,-71.42899023097863,-12.774750931508164,33.87941149034525
case_695,-98.5401901911207,-4.919170460756043,-96.0732236932215,-16.800491455032848,6.433197851173029,-91.08169281273389,-16.091812664035185,14.622410150662049
case_696,-103.14503780738629,33.35291559112875,-94.6535680998305,-14.929933062532182,46.51319343549834,-90.2572042352137,-13.662359739253816,48.88387916536244
case_697,-107.39471154917442,-4.40736998263876,-103.6903152940287,-18.751272704016372,9.866646957061356,-99.91376147580962,-17.945777488288197,17.993922657536007
case_698,-111.7132748986114,17.647732249411508,-106.37666509982633,-18.666426622754198,34.66987757976925,-104.9763444206256,-17.74928689662476,36.622160996746985
case_699,-108.67867853775073,-9.6691857278837,-106.37609974991246,-18.044136552670047,3.822532769284023,-103.02270067164798,-17.74312418274858,10.881465618082675
case_700,-99.51800790500269,-0.6130997858833961,-96.51372393731707,-17.279862005224228,12.841937101673043,-92.53732401288691,-16.552473053892214,19.286671273369418
case_701,-85.18152413413559,0.33814644755920736,-81.18736080241378,-14.549590163934425,15.516022735856183,-76.83774560413293,-12.89711583457478,20.626345708133904
case_702,-104.41810097200431,-3.8090065736073324,-97.51543708958555,-19.246479646670274,9.56695753675055,-93.78046377651019,-17.355832998321663,15.433100122357327
case_703,-97.67277594562124,18.058713133365952,-96.45362965043476,-18.106074069206727,30.808889603322466,-92.85548440665293,-17.1543635396766,33.772704240332324
case_704,-100.34403429854042,0.21661614228739476,-97.85298018837057,-17.26507434147628,14.982184301481023,-91.84208249119537,-16.216863025203487,19.281503741271084
case_705,-102.05367731965028,-15.982380875373964,-101.26438303197244,-16.474475179169193,-0.7453062507984238,-98.29008583065865,-16.05721482707429,8.107553721574735
case_706,-91.4913135156618,17.734081018814795,-102.27962542468373,-18.264000477764064,29.534379620549803,-98.80670530938374,-17.21513467920861,32.287175369422705
case_707,-101.58627512004269,12.556763728999387,-102.1317245651046,-17.00919540229885,26.98868102555371,-98.6739908919578,-15.312946853942597,30.840498039066368
case_708,-90.22090390605707,7.802069150472418,-99.36593258294336,-17.744942458639514,20.963022095280884,-95.73892534313289,-17.23649321804364,28.240356029458276
case_709,-105.66077175094958,5.223706997645249,-104.2584823428781,-18.476246773682355,17.28626950281065,-102.10507268689173,-18.12365338382346,22.621823039167403
case_710,-111.25332245010577,15.233646226519214,-100.76399485985061,-14.453294563216266,31.957278836867797,-95.69956055450278,-13.410848558071578,37.947721678660365
case_711,-105.7987155629556,4.43109201049574,-106.61417220281385,-19.427406749028414,19.82301694349172,-103.34710658323421,-19.27289735193733,27.16276906062477
case_712,-92.74551595552275,23.00142220501346,-91.7275097209655,-16.828806434275183,34.870985078996625,-87.99797336205027,-16.062209509263994,38.8790833906862
case_713,-106.76680730845717,5.120990884701796,-104.78717486915163,-21.28500675779868,33.69974036200347,-95.60386447472627,-18.545934234222674,38.64535501013994
case_714,-102.34922203642984,25.8414604335952,-97.69928738301607,-15.481719170239394,38.42861634012652,-94.85397920137741,-13.527546000844843,39.25254631887189
case_715,-102.20669120940256,10.493711802387748,-93.99069124923254,-15.900221840860576,23.92243113422478,-89.88698176517674,-15.053800109591986,27.750332959592644
case_716,-107.35295775293255,-12.419116308557584,-102.9696787497826,-17.526709910501683,6.019809720835688,-97.77412849386116,-16.974875936876355,13.202007044171312
case_717,-114.21229283724443,3.3029144264272974,-107.75702407532759,-18.1132378936792,21.001606843261893,-103.7655028831421,-17.528942076451848,26.112906548159057
case_718,-107.45180196895942,4.677058612623995,-93.64368840461864,-14.952200698560171,23.52620763263117,-88.04432159774093,-13.107785632626397,27.9911234131908
case_719,-108.42212704880082,12.401709837225761,-95.8156334006255,-15.3156837939159,29.967677521572323,-91.19242480227125,-12.606812510332123,35.0896358747002
